清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
子宫及附件彩超(赠送),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫及附件彩超(需憋尿),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫及附件超声,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫及附件(彩超),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫双附件彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫双附件彩超(憋尿),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫双附件彩超(经阴道),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,经阴道,
子宫双附件超声,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫彩超,（子宫|附件）彩超,,子宫,子宫|附件,彩超,,
子宫附件(彩超),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件(阴式)彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件B超,（子宫|附件）B超,,子宫附件,子宫|附件,B超,,
子宫附件MRI,（子宫|附件）MRI,泌尿生殖系统,,子宫|附件,MRI,,
子宫附件双肾彩超(无图文),（子宫|附件）彩超,泌尿生殖,,子宫|附件,彩超,,
子宫附件彩色超声,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫附件彩色超声(出图),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫附件彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(含孕环),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(子宫/附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超+图文片,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超查环查孕,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(外检专用),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(外检),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(女),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
子宫附件彩超(女)+图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
子宫附件彩超(女)-无图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
子宫附件彩超(无图文),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(经阴式),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(腔内),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,腔内,
子宫附件彩超(赠送),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(阴式),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件彩超(需憋尿),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件超声-需憋尿,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫附件超声0,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫附件超声(女未婚),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,女
子宫附件超声(需喝水憋尿),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫附件超声(需憋尿),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫附件阴式彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件(阴式彩超),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫附件(阴式)超声,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫(阴式)彩超,（子宫）彩超,,子宫附件,子宫,彩超,,
彩超(阴式子宫附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超(阴式子宫附件)(已婚女),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超(阴式子宫附件)(已婚女)2,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超(阴式子宫附件)女,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超(阴式子宫附件)女(含图文报告),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超(阴式子宫附件)(已婚女)(BN),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超-子宫|双侧附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超-子宫附件超声,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
彩超检查-子宫及附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超检查-子宫双附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超检查-子宫附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超检查(子宫附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超盆腔(子宫附件B超),（盆腔|子宫|附件）彩超,,,盆腔|子宫|附件,彩超,,
彩超盆腔(子宫附件B超)(赠送),（盆腔|子宫|附件）彩超,,,盆腔|子宫|附件,彩超,,
彩超(子宫及附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超(子宫查环),（子宫|附件）彩超,,子宫,子宫|附件,彩超,,
彩超(子宫附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超(子宫附件或阴式彩超),（子宫|附件）彩超,泌尿生殖,,子宫|附件,彩超,,
彩超(子宫附件)-无图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超(子宫附件)-有图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超(子宫附件)(女已婚),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超(阴式子宫附件)女+彩色图文报告,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超(阴式子宫附件)(AY),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超(阴式子宫附件)(女已婚),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超(阴式子宫附件)(女),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
彩超:子宫|附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超:子宫及附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超:子宫双附件(省),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超:子宫双附件(阴超)(省),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超:子宫附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超:子宫附件/阴超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
憋尿彩超(子宫附件)K,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
核磁子宫附件(不含片),（子宫|附件）MRI,,子宫附件,子宫|附件,MRI,,
泌尿生殖女性盆腔彩超(子宫卵巢附件),（盆腔|子宫|卵巢）彩超,泌尿生殖,,盆腔|子宫|卵巢,彩超,,女
泌尿生殖系彩超(子宫|附件),（子宫|附件）彩超,泌尿生殖,子宫附件,子宫|附件,彩超,,
泌尿生殖系(含子宫附件)彩超-无图文,（子宫|附件）彩超,泌尿生殖,子宫附件,子宫|附件,彩超,,
生殖系(含子宫附件)彩超-无图,（子宫|附件）彩超,泌尿生殖,,子宫|附件,彩超,,
生殖系(含子宫附件)彩超-无图文,（子宫|附件）彩超,泌尿生殖,,子宫|附件,彩超,,
盆腔彩超(子宫|附件),（盆腔|子宫|附件）彩超,盆腔,子宫附件,盆腔|子宫|附件,彩超,,
盆腔彩超女(子宫附件)(需憋尿),（盆腔|子宫|附件）彩超,盆腔,子宫附件,盆腔|子宫|附件,彩超,,女
盆腔彩超(子宫|附件)需憋尿,（盆腔|子宫|附件）彩超,盆腔,子宫附件,盆腔|子宫|附件,彩超,,
盆腔彩超(子宫附件),（盆腔|子宫|附件）彩超,盆腔,子宫附件,盆腔|子宫|附件,彩超,,
经阴道子宫双附件彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,经阴道,
经阴道子宫双附件彩超(已婚),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,经阴道,
超声(子宫及附件),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
超声(子宫及附件)不出图,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
超声检查-子宫双附件,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
超声检查-子宫双附件超声,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
超声检查(子宫|附件),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
阴式子宫附件彩色多普勒(已婚女),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,女
阴式彩超(子宫附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴式彩超(子宫附件)-图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴式彩超(子宫|附件)-无图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴式彩超(子宫|附件|双肾),（子宫|附件）彩超,泌尿生殖,,子宫|附件,彩超,,
阴式彩超(子宫|附件|双肾)-图文,（子宫|附件）彩超,泌尿生殖,,子宫|附件,彩超,,
阴式彩超(子宫|附件)(先做妇科检查),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴式彩超(子宫|附件)-图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴式彩超(子宫|附件)无图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴式彩超(子宫|附件)有图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴式彩超(子宫附件)K,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴超(子宫|附件)彩超(团),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
"阴超(子宫,附件)彩超",（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
"阴超(子宫,附件)彩超(7Y)",（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴道子宫附件彩超,（阴道|子宫|附件）彩超,泌尿生殖,,阴道|子宫|附件,彩超,,
MRI腰椎平扫,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI颈椎平扫,（颈椎）MRI,,颈椎,颈椎,MRI,,
CMRA(颈部动脉血管成像),（颈动脉）MRA,颈,动脉,颈动脉,MRA,,
K-MRI核磁单膝关节(不含片),（膝关节）MRI,,膝关节,膝关节,MRI,,
K-MRI核磁右膝关节(不含片),（膝关节）MRI,,右膝关节,膝关节,MRI,,
K-MRI核磁肩关节(不含片),（肩关节）MRI,,肩关节,肩关节,MRI,,
K-MRI核磁脑血管(不含片),（血管）MRI,脑,血管,血管,MRI,,
K-MRI核磁腰椎(不含片),（腰椎）MRI,,腰椎,腰椎,MRI,,
K-MRI核磁踝关节(不含片),（踝关节）MRI,,踝关节,踝关节,MRI,,
K-MRI核磁颈椎(不含片),（颈椎）MRI,,颈椎,颈椎,MRI,,
K-MRI核磁颈部血管成像(不含片),（血管）MRI,颈,血管,血管,MRI,,
K-MRI核磁髋关节(不含片),（髋关节）MRI,,髋关节,髋关节,MRI,,
K-MRI核磁鼻窦(不含片),（鼻窦）MRI,,鼻窦,鼻窦,MRI,,
MJ颅底WILLIS环血管成像MRI(MRA),（血管）MRI,颅底,血管,血管,MRI,,
MR-单侧膝关节平扫,（膝关节）MRI,,膝关节,膝关节,MRI,,
MR-单侧髋关节平扫,（髋关节）MRI,,髋关节,髋关节,MRI,,
MR-双侧膝关节平扫,（膝关节）MRI,,膝关节,膝关节,MRI,,
MR-双侧髋关节平扫,（髋关节）MRI,,髋关节,髋关节,MRI,,
MR-双膝关节(片),（膝关节）MRI,,膝关节,膝关节,MRI,,
MR-肩关节平扫,（肩关节）MRI,,肩关节,肩关节,MRI,,
MR-腰椎(片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MR-腰椎,（腰椎）MRI,,腰椎,腰椎,MRI,,
MR-腰椎平扫,（腰椎）MRI,,腰椎,腰椎,MRI,,
MR-膝关节平扫(右),（膝关节）MRI,,膝关节,膝关节,MRI,,
MR-膝关节平扫(左),（膝关节）MRI,,膝关节,膝关节,MRI,,
MR-颅脑,（颅脑）MRI,颅脑,,颅脑,MRI,,
MR-颅脑(599活动),（颅脑）MRI,颅脑,,颅脑,MRI,,
MR-颅脑平扫(六序列),（颅脑）MRI,颅脑,,颅脑,MRI,,
MR-颈椎,（颈椎）MRI,,颈椎,颈椎,MRI,,
MR-颈椎平扫,（颈椎）MRI,,颈椎,颈椎,MRI,,
MR-髋关节平扫(左),（髋关节）MRI,,髋关节,髋关节,MRI,,
MRA(血管动脉成像),（动脉）MRA,,动脉,动脉,MRA,,
MRA动脉血管核磁,（动脉）MRA,,动脉,动脉,MRA,,
MRA核磁(不出片),MRA,,,,MRA,,
MRA颅脑血管,（颅脑）MRA,颅脑,血管,颅脑,MRA,,
MRI(单侧膝关节),（膝关节）MRI,,膝关节,膝关节,MRI,,
MRI(右膝),（膝）MRI,,右膝,膝,MRI,,
MRI(左膝),（膝）MRI,,左膝,膝,MRI,,
MRI(左膝关节)A(不含片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI(左膝关节)(不含片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI(腰椎),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI(腰椎)A(不含片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI(腰椎)(不含片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI(颈椎),（颈椎）MRI,,颈椎,颈椎,MRI,,
MRI(髋关节),（髋关节）MRI,,髋关节,髋关节,MRI,,
MRI(鼻咽部)扫描,（鼻|咽）MRI,鼻咽,,鼻|咽,MRI,,
MRI+MRA(AY),MRI|MRA,,,,MRI|MRA,,
MRI-副鼻窦,（副鼻窦）MRI,,副鼻窦,副鼻窦,MRI,,
MRI-右侧膝关节核磁,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI-右膝关节,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI-左侧膝关节核磁(YWY),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI-左膝关节,（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI-心脏冠脉核磁,（心脏）MRI,,心脏,心脏,MRI,,
MRI-腰椎,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI-腰椎平扫,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI-腰椎核磁(YWY),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI-踝关节(单侧),（踝关节）MRI,,踝关节,踝关节,MRI,,
MRI-颅脑平扫,（颅脑）MRI,颅脑,,颅脑,MRI,,
MRI-颈椎,（颈椎）MRI,,颈椎,颈椎,MRI,,
MRI-颈椎(片),（颈椎）MRI,,颈椎,颈椎,MRI,,
MRI-颈椎核磁,（颈椎）MRI,,颈椎,颈椎,MRI,,
MRI-颈椎核磁(YWY),（颈椎）MRI,,颈椎,颈椎,MRI,,
MRI(颅脑),（颅脑）MRI,颅脑,,颅脑,MRI,,
MRI任一部位,MRI,,,,MRI,,
MRI任一部位(赠送),MRI,,,,MRI,,
MRI其他部位平扫,MRI,,,,MRI,,
MRI其他部位检查,MRI,,,,MRI,,
MRI前列腺平扫(不出片),（前列腺）MRI,,前列腺,前列腺,MRI,,
MRI双肾平扫(不出片),（肾）MRI,,肾,肾,MRI,,
MRI双肾平扫(出片),（肾）MRI,,肾,肾,MRI,,
MRI双膝关节右平扫(两张片),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI双膝关节左平扫(不出片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI双膝关节左平扫(两张片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI双膝关节平扫,（膝关节）MRI,,膝关节,膝关节,MRI,,
MRI双踝关节平扫,（踝关节）MRI,,踝关节,踝关节,MRI,,
MRI双髋关节平扫,（髋关节）MRI,,髋关节,髋关节,MRI,,
MRI双髋关节平扫(不出片),（髋关节）MRI,,髋关节,髋关节,MRI,,
MRI右侧膝关节平扫(不出片),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右肩关节,（肩关节）MRI,,右肩关节,肩关节,MRI,,
MRI右肩关节平扫,（肩关节）MRI,,右肩关节,肩关节,MRI,,
MRI右肩关节平扫(不出片),（肩关节）MRI,,右肩关节,肩关节,MRI,,
MRI右肩平扫,（肩）MRI,,右肩,肩,MRI,,
MRI右腕关节平扫,（腕关节）MRI,,右腕关节,腕关节,MRI,,
MRI右腕关节平扫(不出片),（腕关节）MRI,,左腕关节,腕关节,MRI,,
MRI右膝关节,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右膝关节-软组织平扫单侧1.5T,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右膝关节/软组织平扫单侧1.5T,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右膝关节平扫,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右膝关节平扫(不出片),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右膝关节平扫(出片),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右膝关节核磁,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右膝关节核磁(不含片),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI右踝关节,（踝关节）MRI,,右踝关节,踝关节,MRI,,
MRI右踝关节\软组织核磁平扫,（踝关节）MRI,,右踝关节,踝关节,MRI,,
MRI右踝关节平扫,（踝关节）MRI,,右踝关节,踝关节,MRI,,
MRI右踝关节平扫(不出片),（踝关节）MRI,,右踝关节,踝关节,MRI,,
MRI右髋关节平扫,（髋关节）MRI,,右髋关节,髋关节,MRI,,
MRI尿路水成像,MRI,泌尿生殖系统,,,MRI,,
MRI左侧肩关节,（肩关节）MRI,,左肩关节,肩关节,MRI,,
MRI左侧膝关节平扫(不出片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左肘关节,（肘关键）MRI,,左肘关键,肘关键,MRI,,
MRI左肩关节平扫,（肩关节）MRI,,左肩关节,肩关节,MRI,,
MRI左膝关节,（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左膝关节-软组织平扫单侧1.5T,（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左膝关节/软组织平扫单侧1.5T,（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左膝关节平扫,（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左膝关节平扫(不出片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左膝关节平扫(出片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左膝关节核磁,（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左膝关节核磁(不含片),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI左踝关节,（踝关节）MRI,,左踝关节,踝关节,MRI,,
MRI左踝关节平扫,（踝关节）MRI,,左踝关节,踝关节,MRI,,
MRI左踝关节平扫(不出片),（踝关节）MRI,,左踝关节,踝关节,MRI,,
MRI左髋关节平扫,（髋关节）MRI,,左髋关节,髋关节,MRI,,
MRI左髋关节平扫(不出片),（髋关节）MRI,,左髋关节,髋关节,MRI,,
MRI平扫(副鼻窦),（副鼻窦）MRI,,副鼻窦,副鼻窦,MRI,,
MRI平扫(肩关节),（肩关节）MRI,,肩关节,肩关节,MRI,,
MRI平扫(肩关节)(右),（肩关节）MRI,,右肩关节,肩关节,MRI,,
MRI平扫(肩关节)(左),（肩关节）MRI,,左肩关节,肩关节,MRI,,
MRI平扫(腰椎),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI平扫(膝关节),（膝关节）MRI,,膝关节,膝关节,MRI,,
MRI平扫(膝关节)(右),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI平扫(膝关节)(左),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI平扫(踝关节)(右),（踝关节）MRI,,右踝关节,踝关节,MRI,,
MRI平扫(踝关节)(左),（踝关节）MRI,,左踝关节,踝关节,MRI,,
MRI平扫(颅脑),（颅脑）MRI,颅脑,,颅脑,MRI,,
MRI平扫(颈椎),（颈椎）MRI,,颈椎,颈椎,MRI,,
MRI平扫(髋关节),（髋关节）MRI,,髋关节,髋关节,MRI,,
MRI心脏平扫,（心脏）MRI,,心脏,心脏,MRI,,
MRI心脏检查,（心脏）MRI,,心脏,心脏,MRI,,
MRI核磁(腰椎),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI核磁出片1张,MRI,,,,MRI,,
MRI核磁出片2张,MRI,,,,MRI,,
MRI核磁出片3张,MRI,,,,MRI,,
MRI核磁出片4张,MRI,,,,MRI,,
MRI核磁出片费,MRI,,,,MRI,,
MRI核磁单部位检查,MRI,,,,MRI,,
MRI核磁膝关节/软组织平扫右侧,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI核磁膝关节/软组织平扫左侧,（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI核磁颅脑(赠送),（颅脑）MRI,颅脑,,颅脑,MRI,,
MRI核磁颅脑(赠送)N,（颅脑）MRI,颅脑,,颅脑,MRI,,
MRI核磁鼻咽部平扫(不含片),（鼻|咽）MRI,鼻咽,,鼻|咽,MRI,,
MRI核磁(右膝关节),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI核磁(左膝关节),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI核磁(颈椎),（颈椎）MRI,,颈椎,颈椎,MRI,,
MRI核磁:腰椎平扫,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI每个部位,MRI,,,,MRI,,
MRI盆腔,（盆腔）MRI,,盆腔,盆腔,MRI,,
MRI盆腔平扫,（盆腔）MRI,,盆腔,盆腔,MRI,,
MRI盆腔平扫(不出片),（盆腔）MRI,,盆腔,盆腔,MRI,,
MRI盆腔检查,（盆腔）MRI,,盆腔,盆腔,MRI,,
MRI肝胆胰腺脾脏检查,（肝|胆|胰腺|脾脏）MRI,腹,,肝|胆|胰腺|脾脏,MRI,,
MRI肝胆脾胰(不含片),（肝|胆|脾|胰）MRI,腹,,肝|胆|脾|胰,MRI,,
MRI肩关节(不含片),（肩关节）MRI,,肩关节,肩关节,MRI,,
MRI肩关节平扫,（肩关节）MRI,,肩关节,肩关节,MRI,,
MRI脑垂体平扫,（脑垂体）MRI,,脑垂体,脑垂体,MRI,,
MRI脑垂体(不出片),（脑垂体）MRI,,脑垂体,脑垂体,MRI,,
MRI脑血管平扫,（脑血管）MRI,,脑血管,脑血管,MRI,,
MRI腰椎,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎|间盘平扫(不出片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎及椎管,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎及椎管(含),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(1.5T),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(1.5T)(不含片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(不出片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫-不出片,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫1.5T,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫1.5T(不含片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(不含片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(二张片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(出片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(加项),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎平扫(平安)(不出片),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎核磁平扫,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎检查,（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎(AY赠送),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI腰椎(AY),（腰椎）MRI,,腰椎,腰椎,MRI,,
MRI膝关节-软组织平扫双侧1.5T,（膝关节）MRI,,膝关节,膝关节,MRI,,
MRI膝关节/软组织平扫单侧1.5T,（膝关节）MRI,,膝关节,膝关节,MRI,,
MRI膝关节\软组织平扫(单侧)(1.5T),（膝关节）MRI,,膝关节,膝关节,MRI,,
MRI膝关节\软组织平扫(右侧)(1.5T),（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI膝关节\软组织平扫(左侧)(1.5T),（膝关节）MRI,,左膝关节,膝关节,MRI,,
MRI膝关节\软组织平扫(右侧|1.5T)不含片,（膝关节）MRI,,右膝关节,膝关节,MRI,,
MRI膝关节\软组织平扫(左侧|1.5T)不含片,（膝关节）MRI,,左膝关节,膝关节,MRI,,
